Username,ID,Money Available,Role,Password,First Name,DOB,Flights Purchased,MinerAirlines Membership,Last Name
kathleensmall,322,22.35,Employee,Fun!23,Kathleen,11/23/39,8,false,Small,
lindsaywebster,323,28.47,Employee,Fun!23,Lindsay,4/3/66,8,true,Webster,
michelleortiz,324,31.61,Employee,Fun!23,Michelle,12/13/86,13,false,Ortiz,
cherylwilson,325,30.0,Employee,Fun!23,Cheryl,4/4/98,12,true,Wilson,
melissarivera,326,27.19,Employee,Fun!23,Melissa,3/23/29,4,true,Rivera,
bryanhardy,327,13.45,Employee,Fun!23,Bryan,10/22/02,9,false,Hardy,
jasonwolfe,328,12.19,Employee,Fun!23,Jason,2/7/54,6,true,Wolfe,
staceypaul,329,46.86,Employee,Fun!23,Stacey,2/26/71,8,true,Paul,
crystaljohnson,330,7.92,Employee,Fun!23,Crystal,2/16/74,9,true,Johnson,
jordanwilson,331,49.01,Employee,Fun!23,Jordan,10/30/82,12,false,Wilson,
amandashepherd,332,7.38,Employee,Fun!23,Amanda,2/3/53,11,true,Shepherd,
alexandercameron,333,22.87,Employee,Fun!23,Alexander,12/1/33,4,false,Cameron,
kevinscott,334,27.6,Employee,Fun!23,Kevin,2/9/85,16,false,Scott,
kyletaylor,335,41.09,Employee,Fun!23,Kyle,10/6/98,4,false,Taylor,
kimberlygarcia,336,24.83,Employee,Fun!23,Kimberly,6/1/79,10,false,Garcia,
chelseaporter,337,40.23,Employee,Fun!23,Chelsea,4/3/40,4,false,Porter,
emmaarmstrong,338,1.87,Employee,Fun!23,Emma,5/10/00,12,true,Armstrong,
courtneyjohnson,339,18.97,Employee,Fun!23,Courtney,4/14/74,7,false,Johnson,
ronaldkent,340,14.24,Employee,Fun!23,Ronald,7/26/35,5,false,Kent,
rickythompson,341,34.42,Employee,Fun!23,Ricky,7/28/52,11,true,Thompson,
denisewilliams,342,37.36,Employee,Fun!23,Denise,8/29/00,3,true,Williams,
jeffreysloan,343,15.46,Employee,Fun!23,Jeffrey,4/24/57,12,false,Sloan,
brianhayes,344,9.87,Employee,Fun!23,Brian,7/19/60,8,false,Hayes,
patriciaglenn,345,14.25,Employee,Fun!23,Patricia,3/29/44,11,false,Glenn,
carolinetorres,346,45.58,Employee,Fun!23,Caroline,12/28/86,6,false,Torres,
benjaminjohnson,347,25.68,Employee,Fun!23,Benjamin,11/8/42,5,true,Johnson,
christinawheeler,348,4.86,Employee,Fun!23,Christina,8/27/13,7,true,Wheeler,
valeriemoore,349,23.41,Employee,Fun!23,Valerie,12/31/00,8,false,Moore,
deborahhunt,350,3.44,Employee,Fun!23,Deborah,2/10/78,9,true,Hunt,
sarahmosley,351,3.46,Employee,Fun!23,Sarah,6/28/71,4,true,Mosley,
donaldhaynes,352,25.51,Employee,Fun!23,Donald,11/22/44,7,true,Haynes,
lisabrown,353,31.48,Employee,Fun!23,Lisa,5/29/09,10,true,Brown,
kennethsmith,354,35.82,Employee,Fun!23,Kenneth,9/25/02,8,true,Smith,
heidibarker,355,31.01,Employee,Fun!23,Heidi,8/28/62,7,true,Barker,
williamwolf,356,6.14,Employee,Fun!23,William,1/23/20,11,false,Wolf,
elizabethcordova,357,10.02,Employee,Fun!23,Elizabeth,2/10/72,12,true,Cordova,
christopherjones,358,17.22,Employee,Fun!23,Christopher,1/21/66,14,true,Jones,
robertwilson,359,5.46,Employee,Fun!23,Robert,8/6/30,7,false,Wilson,
amberbrown,360,35.89,Employee,Fun!23,Amber,11/8/30,4,false,Brown,
antoniobrooks,361,21.91,Employee,Fun!23,Antonio,5/25/16,7,false,Brooks,
dakotabender,362,51.17,Employee,Fun!23,Dakota,2/23/87,10,false,Bender,
kevinswanson,363,24.11,Employee,Fun!23,Kevin,9/13/60,9,true,Swanson,
christopherdominguez,364,4.38,Employee,Fun!23,Christopher,8/17/31,7,true,Dominguez,
peggymurphy,365,5.03,Employee,Fun!23,Peggy,12/26/85,5,false,Murphy,
edwardjohnson,366,55.6,Employee,Fun!23,Edward,11/3/54,6,true,Johnson,
mistyhorton,367,7.34,Employee,Fun!23,Misty,1/31/46,2,false,Horton,
christopherfoster,368,50.98,Employee,Fun!23,Christopher,3/30/38,7,false,Foster,
carriebennett,369,3.43,Employee,Fun!23,Carrie,3/26/65,14,true,Bennett,
natashawheeler,370,45.87,Employee,Fun!23,Natasha,5/26/73,7,false,Wheeler,
angeljoseph,371,27.83,Employee,Fun!23,Angel,3/20/90,9,true,Joseph,
danielfoster,372,2.1,Employee,Fun!23,Daniel,6/2/05,15,true,Foster,
rhondakane,373,4.11,Employee,Fun!23,Rhonda,3/12/68,8,true,Kane,
jeffreygonzalez,374,34.27,Employee,Fun!23,Jeffrey,9/28/44,8,false,Gonzalez,
jeremiahwilliamson,375,1.88,Employee,Fun!23,Jeremiah,6/9/80,5,false,Williamson,
deansmith,376,0.47,Employee,Fun!23,Dean,4/24/71,13,false,Smith,
lisastafford,377,11.47,Employee,Fun!23,Lisa,4/3/18,6,false,Stafford,
travisruiz,378,23.95,Employee,Fun!23,Travis,6/24/52,7,false,Ruiz,
marystevens,379,40.96,Employee,Fun!23,Mary,2/24/56,13,true,Stevens,
shanearnold,380,28.5,Employee,Fun!23,Shane,9/13/72,13,false,Arnold,
teresajacobs,381,47.32,Employee,Fun!23,Teresa,10/24/74,6,true,Jacobs,
joshuameadows,382,57.88,Employee,Fun!23,Joshua,9/21/62,7,true,Meadows,
thomaselliott,383,10.55,Employee,Fun!23,Thomas,1/5/20,6,false,Elliott,
elizabethalvarez,384,20.38,Employee,Fun!23,Elizabeth,2/2/61,10,false,Alvarez,
aliciajenkins,385,26.1,Employee,Fun!23,Alicia,5/7/44,6,true,Jenkins,
jacobwilliams,386,6.43,Employee,Fun!23,Jacob,4/27/75,13,true,Williams,
michelecummings,387,3.54,Employee,Fun!23,Michele,1/6/66,7,true,Cummings,
craigoconnell,388,4.71,Employee,Fun!23,Craig,5/29/75,8,true,Oconnell,
josephbrooks,389,22.0,Employee,Fun!23,Joseph,10/17/54,6,false,Brooks,
anthonyhardin,390,5.54,Employee,Fun!23,Anthony,2/18/75,5,false,Hardin,
normanfreeman,391,4.22,Employee,Fun!23,Norman,5/6/45,10,true,Freeman,
devindiaz,392,20.39,Employee,Fun!23,Devin,4/4/53,10,true,Diaz,
donnatravis,393,45.85,Employee,Fun!23,Donna,2/8/05,9,true,Travis,
tanyakent,394,5.2,Employee,Fun!23,Tanya,4/11/09,15,true,Kent,
keithellis,395,41.22,Employee,Fun!23,Keith,11/3/17,11,false,Ellis,
anthonysims,396,20.11,Employee,Fun!23,Anthony,8/26/60,4,false,Sims,
krystalthompson,397,56.93,Employee,Fun!23,Krystal,8/24/09,5,false,Thompson,
benjaminramirez,398,18.37,Employee,Fun!23,Benjamin,4/12/00,11,true,Ramirez,
scottrose,399,7.42,Employee,Fun!23,Scott,3/18/20,7,false,Rose,
jessicafernandez,400,94.89,Employee,Fun!23,Jessica,7/30/54,11,true,Fernandez,
michaelcastillo,401,16.22,Employee,Fun!23,Michael,6/11/98,10,true,Castillo,
rubenedwards,402,1.2,Employee,Fun!23,Ruben,2/4/21,9,false,Edwards,
ashleywilcox,403,32.16,Employee,Fun!23,Ashley,1/15/53,5,false,Wilcox,
allisoncross,404,26.63,Employee,Fun!23,Allison,10/14/49,8,true,Cross,
anitastein,405,35.16,Employee,Fun!23,Anita,10/27/42,2,false,Stein,
seanhull,406,2.6,Employee,Fun!23,Sean,8/31/08,5,true,Hull,
ricardorodriguez,407,12.26,Employee,Fun!23,Ricardo,3/8/59,9,true,Rodriguez,
davidsoto,408,61.79,Employee,Fun!23,David,2/9/52,9,false,Soto,
kaylamahoney,409,0.54,Employee,Fun!23,Kayla,8/25/26,3,false,Mahoney,
rayhuynh,410,31.03,Employee,Fun!23,Ray,7/11/88,8,false,Huynh,
terrimendez,411,1.13,Employee,Fun!23,Terri,11/19/49,9,false,Mendez,
rachelroberson,412,2.64,Employee,Fun!23,Rachel,10/13/70,13,false,Roberson,
zacharytran,413,29.12,Employee,Fun!23,Zachary,5/13/96,9,true,Tran,
johnwhite,414,0.82,Employee,Fun!23,John,7/26/50,2,true,White,
philipcollins,415,56.31,Employee,Fun!23,Philip,8/23/78,8,false,Collins,
huntermoore,416,36.53,Employee,Fun!23,Hunter,12/12/85,12,false,Moore,
nicolejohnson,417,4.93,Employee,Fun!23,Nicole,7/29/69,11,false,Johnson,
adambass,418,19.08,Employee,Fun!23,Adam,4/6/47,11,true,Bass,
lisaspencer,419,35.09,Employee,Fun!23,Lisa,9/18/88,9,true,Spencer,
justinmartinez,420,2.76,Employee,Fun!23,Justin,1/10/39,6,false,Martinez,
anthonyhunter,421,28.51,Employee,Fun!23,Anthony,9/29/76,5,false,Hunter,
dorismoore,422,11.79,Employee,Fun!23,Doris,1/3/17,13,true,Moore,
elizabethcruz,423,32.43,Employee,Fun!23,Elizabeth,7/5/23,10,false,Cruz,
randykeller,424,17.82,Employee,Fun!23,Randy,2/1/62,9,true,Keller,
brandonneal,425,25.02,Employee,Fun!23,Brandon,7/7/76,12,true,Neal,
marklamb,426,12.79,Employee,Fun!23,Mark,4/28/57,6,true,Lamb,
tiffanymay,427,42.15,Employee,Fun!23,Tiffany,9/17/05,8,false,May,
kristablake,428,5.8,Employee,Fun!23,Krista,1/20/58,11,true,Blake,
johnmorris,429,34.46,Employee,Fun!23,John,2/20/48,7,false,Morris,
jillsolis,430,8.94,Employee,Fun!23,Jill,9/11/04,5,false,Solis,
emmapadilla,431,5.86,Employee,Fun!23,Emma,9/8/09,7,false,Padilla,
beckygray,432,28.06,Employee,Fun!23,Becky,10/27/76,7,true,Gray,
ritaowens,433,20.55,Employee,Fun!23,Rita,10/31/88,17,true,Owens,
kristinapatrick,434,49.44,Employee,Fun!23,Kristina,2/16/05,15,false,Patrick,
raymondwoodward,435,34.18,Employee,Fun!23,Raymond,7/5/27,6,false,Woodward,
rebeccabrown,436,16.08,Employee,Fun!23,Rebecca,11/19/09,10,false,Brown,
samanthathomas,437,2.84,Employee,Fun!23,Samantha,4/20/21,8,true,Thomas,
patricklarsen,438,43.92,Employee,Fun!23,Patrick,4/21/02,8,false,Larsen,
emilybrady,439,4.37,Employee,Fun!23,Emily,5/25/07,8,false,Brady,
aprilturner,440,48.62,Employee,Fun!23,April,6/14/89,8,true,Turner,
stevencabrera,441,25.31,Employee,Fun!23,Steven,8/20/61,6,false,Cabrera,
michaelmurray,442,15.26,Employee,Fun!23,Michael,11/12/48,8,false,Murray,
gregorycarr,443,35.42,Employee,Fun!23,Gregory,4/20/51,7,false,Carr,
daviddavila,444,14.71,Employee,Fun!23,David,5/27/88,6,false,Davila,
brandonsmith,445,6.37,Employee,Fun!23,Brandon,4/1/41,3,false,Smith,
ryanwilkins,446,40.31,Employee,Fun!23,Ryan,7/17/08,4,false,Wilkins,
jonlopez,447,31.39,Employee,Fun!23,Jon,8/8/58,4,true,Lopez,
jennifercopeland,448,78.54,Employee,Fun!23,Jennifer,6/26/56,11,true,Copeland,
alexisshea,449,0.45,Employee,Fun!23,Alexis,6/3/96,9,true,Shea,
geraldbaker,450,0.63,Employee,Fun!23,Gerald,4/4/20,5,true,Baker,
tararodriguez,451,41.04,Employee,Fun!23,Tara,1/11/88,9,true,Rodriguez,
jerryhampton,452,14.59,Employee,Fun!23,Jerry,3/1/51,8,true,Hampton,
raybooth,453,3.13,Employee,Fun!23,Ray,9/23/79,8,false,Booth,
michellesexton,454,10.07,Employee,Fun!23,Michelle,3/5/57,9,true,Sexton,
kaylamorgan,455,16.61,Employee,Fun!23,Kayla,12/29/46,7,true,Morgan,
deborahscott,456,48.38,Employee,Fun!23,Deborah,12/3/26,11,false,Scott,
trevoryoung,457,14.9,Employee,Fun!23,Trevor,7/25/55,7,true,Young,
philipchaney,458,24.34,Employee,Fun!23,Philip,2/27/04,7,false,Chaney,
lindaalexander,459,4.39,Employee,Fun!23,Linda,7/7/18,8,false,Alexander,
jasonskinner,460,37.03,Employee,Fun!23,Jason,8/25/20,9,false,Skinner,
anthonydalton,461,15.16,Employee,Fun!23,Anthony,3/28/66,5,true,Dalton,
kevinlarson,462,79.75,Employee,Fun!23,Kevin,11/3/10,3,false,Larson,
alexandrafox,463,10.62,Employee,Fun!23,Alexandra,8/8/02,7,false,Fox,
garymiller,464,29.8,Employee,Fun!23,Gary,2/17/96,7,false,Miller,
crystalrice,465,23.73,Employee,Fun!23,Crystal,10/5/11,4,true,Rice,
georgewood,466,3.04,Employee,Fun!23,George,4/17/01,10,false,Wood,
christopherraymond,467,60.97,Employee,Fun!23,Christopher,2/17/55,13,false,Raymond,
wendystanton,468,46.82,Employee,Fun!23,Wendy,9/28/13,6,true,Stanton,
theresahardy,469,17.89,Employee,Fun!23,Theresa,2/19/93,2,true,Hardy,
barbarajones,470,59.7,Employee,Fun!23,Barbara,7/14/66,7,true,Jones,
alyssareese,471,4.88,Employee,Fun!23,Alyssa,7/15/50,5,false,Reese,
ericramos,472,11.42,Employee,Fun!23,Eric,12/24/96,6,false,Ramos,
brianlopez,473,19.44,Employee,Fun!23,Brian,8/6/52,3,true,Lopez,
angelamcintyre,474,31.19,Employee,Fun!23,Angela,10/22/84,9,true,Mcintyre,
dorismercado,475,51.86,Employee,Fun!23,Doris,4/10/19,8,true,Mercado,
terristrickland,476,3.27,Employee,Fun!23,Terri,1/9/83,5,true,Strickland,
amyrodriguez,477,31.97,Employee,Fun!23,Amy,10/9/44,13,true,Rodriguez,
thomasbonilla,478,12.6,Employee,Fun!23,Thomas,6/28/21,6,false,Bonilla,
wesleylambert,479,4.4,Employee,Fun!23,Wesley,5/22/77,13,true,Lambert,
kellybell,480,15.8,Employee,Fun!23,Kelly,9/7/92,5,false,Bell,
michellewood,481,27.01,Employee,Fun!23,Michelle,3/9/06,10,false,Wood,
derekirwin,482,4.53,Employee,Fun!23,Derek,3/16/75,12,true,Irwin,
brandigordon,483,8.69,Employee,Fun!23,Brandi,5/11/46,9,false,Gordon,
juliangutierrez,484,58.76,Employee,Fun!23,Julian,8/10/15,5,false,Gutierrez,
samanthacooper,485,32.08,Employee,Fun!23,Samantha,11/20/32,10,false,Cooper,
kevingould,486,13.51,Employee,Fun!23,Kevin,3/8/40,5,true,Gould,
michaelfox,487,7.44,Employee,Fun!23,Michael,11/19/83,8,false,Fox,
stevenowens,488,31.79,Employee,Fun!23,Steven,6/28/13,13,false,Owens,
ambersellers,489,48.82,Employee,Fun!23,Amber,5/3/04,8,true,Sellers,
joseevans,490,3.05,Employee,Fun!23,Jose,10/2/62,10,true,Evans,
jessicaanderson,491,4.23,Employee,Fun!23,Jessica,11/6/61,9,false,Anderson,
joecochran,492,30.78,Employee,Fun!23,Joe,4/20/77,1,true,Cochran,
michaelrobinson,493,0.42,Employee,Fun!23,Michael,3/4/61,12,false,Robinson,
matthewporter,494,59.74,Employee,Fun!23,Matthew,2/2/60,6,true,Porter,
angelbarber,495,24.98,Employee,Fun!23,Angel,12/5/08,7,true,Barber,
darleneshaw,496,25.7,Employee,Fun!23,Darlene,1/26/10,13,false,Shaw,
gabrielhansen,497,5.61,Employee,Fun!23,Gabriel,1/20/34,3,false,Hansen,
brittanynielsen,498,12.06,Employee,Fun!23,Brittany,1/7/60,12,false,Nielsen,
jessicafrye,499,8.2,Employee,Fun!23,Jessica,4/1/69,8,false,Frye,
bruceclark,500,26.48,Employee,Fun!23,Bruce,5/11/17,11,false,Clark,
justindavis,501,14.26,Employee,Fun!23,Justin,2/20/17,4,true,Davis,
louisboone,502,43.87,Employee,Fun!23,Louis,7/1/43,5,true,Boone,
amymcpherson,503,14.7,Employee,Fun!23,Amy,11/30/72,7,true,Mcpherson,
debrablackwell,504,16.06,Employee,Fun!23,Debra,12/22/74,4,true,Blackwell,
angelalang,505,4.54,Employee,Fun!23,Angela,3/27/82,3,false,Lang,
danielledorsey,506,29.39,Employee,Fun!23,Danielle,1/11/16,7,true,Dorsey,
hannahmaldonado,507,2.39,Employee,Fun!23,Hannah,5/25/10,6,false,Maldonado,
michaelamiranda,508,15.98,Employee,Fun!23,Michaela,7/24/51,3,false,Miranda,
tamiweaver,509,2.27,Employee,Fun!23,Tami,6/7/27,7,false,Weaver,
edwardjackson,510,39.27,Employee,Fun!23,Edward,6/13/37,9,false,Jackson,
stevenhernandez,511,34.66,Employee,Fun!23,Steven,6/21/27,14,true,Hernandez,
marychapman,512,14.64,Employee,Fun!23,Mary,2/5/64,10,true,Chapman,
colleentorres,513,2.66,Employee,Fun!23,Colleen,8/21/99,8,true,Torres,
jennifermills,514,16.29,Employee,Fun!23,Jennifer,3/28/37,4,false,Mills,
wendycampos,515,55.03,Employee,Fun!23,Wendy,11/8/40,8,true,Campos,
bobbybennett,516,44.7,Employee,Fun!23,Bobby,8/29/93,6,true,Bennett,
michaeladams,517,25.38,Employee,Fun!23,Michael,11/22/77,11,true,Adams,
jamieconner,518,23.15,Employee,Fun!23,Jamie,9/5/14,7,false,Conner,
christophersanford,519,40.77,Employee,Fun!23,Christopher,3/21/79,6,true,Sanford,
margaretsmith,520,34.36,Employee,Fun!23,Margaret,7/7/43,13,false,Smith,
michaelmorton,521,11.65,Employee,Fun!23,Michael,10/31/05,11,false,Morton,
noahhorne,522,0.23,Employee,Fun!23,Noah,1/21/80,11,true,Horne,
kimcontreras,523,28.6,Employee,Fun!23,Kim,10/12/70,8,true,Contreras,
tiffanydavis,524,16.13,Employee,Fun!23,Tiffany,10/1/99,14,false,Davis,
victoriamoses,525,8.97,Employee,Fun!23,Victoria,9/19/19,13,false,Moses,
robinwatson,526,14.77,Employee,Fun!23,Robin,6/5/67,8,true,Watson,
christophermelendez,527,36.7,Employee,Fun!23,Christopher,12/16/92,11,true,Melendez,
nancyrobles,528,25.07,Employee,Fun!23,Nancy,9/3/04,17,true,Robles,
kayleehale,529,20.77,Employee,Fun!23,Kaylee,9/27/36,6,true,Hale,
ryanbrown,530,34.15,Employee,Fun!23,Ryan,2/20/83,5,true,Brown,
gracekelley,531,24.62,Employee,Fun!23,Grace,6/24/42,8,true,Kelley,
alexandercarter,532,25.24,Employee,Fun!23,Alexander,3/30/73,7,true,Carter,
dennisreynolds,533,15.4,Employee,Fun!23,Dennis,8/13/25,11,true,Reynolds,
jennachase,534,52.61,Employee,Fun!23,Jenna,5/5/56,10,true,Chase,
michellepruitt,535,55.67,Employee,Fun!23,Michelle,5/18/03,2,false,Pruitt,
sherrivelasquez,536,3.36,Employee,Fun!23,Sherri,3/7/37,5,false,Velasquez,
darlenerussell,537,7.63,Employee,Fun!23,Darlene,10/20/75,4,false,Russell,
jessicaolsen,538,19.09,Employee,Fun!23,Jessica,10/25/28,6,false,Olsen,
lisarobinson,539,41.99,Employee,Fun!23,Lisa,9/8/43,11,true,Robinson,
michaelmartinez,540,21.89,Employee,Fun!23,Michael,10/15/17,10,true,Martinez,
richardedwards,541,10.37,Employee,Fun!23,Richard,9/25/39,9,false,Edwards,
amychase,542,76.53,Employee,Fun!23,Amy,5/25/42,9,true,Chase,
amandavang,543,15.36,Employee,Fun!23,Amanda,11/19/89,5,false,Vang,
angelawalker,544,7.63,Employee,Fun!23,Angela,2/13/34,5,true,Walker,
kyliesummers,545,26.99,Employee,Fun!23,Kylie,5/27/40,6,true,Summers,
brandyvalenzuela,546,47.01,Employee,Fun!23,Brandy,9/26/59,5,false,Valenzuela,
courtneytran,547,16.35,Employee,Fun!23,Courtney,6/25/39,6,true,Tran,
ryanbowman,548,2.8,Employee,Fun!23,Ryan,12/27/46,12,false,Bowman,
kathleenhines,549,2.13,Employee,Fun!23,Kathleen,12/16/00,11,false,Hines,
ryansullivan,550,4.75,Employee,Fun!23,Ryan,9/24/54,8,true,Sullivan,
kimberlyjohnson,551,46.55,Employee,Fun!23,Kimberly,5/26/34,6,false,Johnson,
kellyharris,552,42.55,Employee,Fun!23,Kelly,11/25/50,2,true,Harris,
williamevans,553,6.24,Employee,Fun!23,William,2/9/99,8,true,Evans,
dakotaharper,554,42.13,Employee,Fun!23,Dakota,12/18/55,3,false,Harper,
marthaperry,555,12.55,Employee,Fun!23,Martha,3/9/46,10,false,Perry,
brittanyweaver,556,26.12,Employee,Fun!23,Brittany,4/13/17,5,true,Weaver,
rodneyberg,557,6.67,Employee,Fun!23,Rodney,11/9/80,3,false,Berg,
heidipage,558,7.89,Employee,Fun!23,Heidi,6/1/02,10,true,Page,
bobbygonzales,559,49.47,Employee,Fun!23,Bobby,9/13/32,7,true,Gonzales,
jakemitchell,560,93.33,Employee,Fun!23,Jake,4/5/43,5,true,Mitchell,
geraldbeltran,561,35.72,Employee,Fun!23,Gerald,2/11/96,8,true,Beltran,
joelwelch,562,31.55,Employee,Fun!23,Joel,6/22/07,5,true,Welch,
dianamatthews,563,16.52,Employee,Fun!23,Diana,2/23/81,15,false,Matthews,
christopherjohnson,564,35.71,Employee,Fun!23,Christopher,1/24/78,12,true,Johnson,
rickygardner,565,53.95,Employee,Fun!23,Ricky,1/25/00,10,false,Gardner,
coreywilson,566,0.87,Employee,Fun!23,Corey,12/16/86,8,true,Wilson,
barbaralane,567,1.02,Employee,Fun!23,Barbara,8/9/78,6,false,Lane,
dylanlopez,568,21.22,Employee,Fun!23,Dylan,2/14/58,3,false,Lopez,
martinedwards,569,13.99,Employee,Fun!23,Martin,5/19/91,9,false,Edwards,
mistyjimenez,570,11.93,Employee,Fun!23,Misty,8/24/10,9,true,Jimenez,
chrisjones,571,58.0,Employee,Fun!23,Chris,11/20/98,7,true,Jones,
robertleblanc,572,45.32,Employee,Fun!23,Robert,5/20/25,7,true,Leblanc,
brandondillon,573,3.56,Employee,Fun!23,Brandon,8/4/25,2,true,Dillon,
chadclark,574,48.07,Employee,Fun!23,Chad,6/21/79,12,false,Clark,
daniellegardner,575,17.84,Employee,Fun!23,Danielle,1/18/49,10,false,Gardner,
bradleybell,576,38.63,Employee,Fun!23,Bradley,11/19/32,5,false,Bell,
christophercraig,577,39.71,Employee,Fun!23,Christopher,1/30/36,9,true,Craig,
jamiehernandez,578,20.65,Employee,Fun!23,Jamie,4/1/53,14,true,Hernandez,
davidcosta,579,0.19,Employee,Fun!23,David,11/20/07,10,true,Costa,
theresaclark,580,62.98,Employee,Fun!23,Theresa,4/27/30,9,false,Clark,
cassandracook,581,17.36,Employee,Fun!23,Cassandra,6/27/12,7,true,Cook,
danajones,582,19.5,Employee,Fun!23,Dana,7/26/88,7,false,Jones,
phillipbrown,583,46.36,Employee,Fun!23,Phillip,8/6/69,12,true,Brown,
andrewtorres,584,24.72,Employee,Fun!23,Andrew,9/17/85,6,true,Torres,
sheriadams,585,64.03,Employee,Fun!23,Sheri,8/20/00,5,false,Adams,
heatherlittle,586,19.6,Employee,Fun!23,Heather,7/29/85,6,true,Little,
jamesmorgan,587,56.54,Employee,Fun!23,James,12/12/96,8,false,Morgan,
cynthiapowell,588,43.13,Employee,Fun!23,Cynthia,12/30/43,10,false,Powell,
josephmacdonald,589,44.52,Employee,Fun!23,Joseph,3/11/03,7,false,Macdonald,
jeffray,590,10.09,Employee,Fun!23,Jeff,9/4/62,7,true,Ray,
michelleramirez,591,58.77,Employee,Fun!23,Michelle,4/16/61,5,true,Ramirez,
christinajones,592,29.24,Employee,Fun!23,Christina,9/14/49,6,false,Jones,
alyssasmith,593,51.04,Employee,Fun!23,Alyssa,3/1/67,4,false,Smith,
anthonybrooks,594,2.59,Employee,Fun!23,Anthony,7/26/15,5,false,Brooks,
anthonybarber,595,5.34,Employee,Fun!23,Anthony,9/8/91,6,true,Barber,
jamesbrennan,596,20.57,Employee,Fun!23,James,3/12/36,10,true,Brennan,
heatherrobbins,597,37.72,Employee,Fun!23,Heather,10/1/39,7,true,Robbins,
sarahanderson,598,46.3,Employee,Fun!23,Sarah,7/21/89,6,false,Anderson,
darinbaker,599,4.93,Employee,Fun!23,Darin,12/7/57,12,false,Baker,
jennifersmith,600,8.53,Employee,Fun!23,Jennifer,12/15/56,5,true,Smith,
davidharvey,601,56.16,Employee,Fun!23,David,6/15/43,6,false,Harvey,
shannonwhite,602,45.86,Employee,Fun!23,Shannon,6/28/81,4,true,White,
briangates,603,13.49,Employee,Fun!23,Brian,2/22/71,9,false,Gates,
victorross,604,42.35,Employee,Fun!23,Victor,8/11/00,4,true,Ross,
antonioedwards,605,6.29,Employee,Fun!23,Antonio,8/5/53,4,false,Edwards,
lawrenceprice,606,26.17,Employee,Fun!23,Lawrence,12/14/84,9,false,Price,
sarahcline,607,25.54,Employee,Fun!23,Sarah,8/21/74,14,true,Cline,
lindarobles,608,57.27,Employee,Fun!23,Linda,7/2/57,10,false,Robles,
ambernguyen,609,57.74,Employee,Fun!23,Amber,10/31/49,9,false,Nguyen,
rickparrish,610,6.69,Employee,Fun!23,Rick,8/4/32,7,true,Parrish,
edwardmolina,611,92.56,Employee,Fun!23,Edward,12/20/09,8,false,Molina,
darrengibbs,612,33.34,Employee,Fun!23,Darren,3/13/06,3,false,Gibbs,
andrewmcclure,613,62.73,Employee,Fun!23,Andrew,12/21/05,6,true,Mcclure,
michaelking,614,0.69,Employee,Fun!23,Michael,12/12/48,10,true,King,
vanessawatson,615,13.87,Employee,Fun!23,Vanessa,12/1/85,13,true,Watson,
jerrysmith,616,31.92,Employee,Fun!23,Jerry,6/21/07,7,true,Smith,
andrewmarshall,617,25.85,Employee,Fun!23,Andrew,10/16/42,11,true,Marshall,
janethughes,618,3.83,Employee,Fun!23,Janet,9/15/96,6,true,Hughes,
tylerbaxter,619,37.02,Employee,Fun!23,Tyler,1/26/76,6,false,Baxter,
amberlong,620,5.46,Employee,Fun!23,Amber,2/13/80,6,true,Long,
jaredperry,621,38.96,Employee,Fun!23,Jared,6/21/89,8,false,Perry,
natalierichardson,622,5.47,Employee,Fun!23,Natalie,12/27/26,7,true,Richardson,
erikalopez,623,11.32,Employee,Fun!23,Erika,10/30/00,13,true,Lopez,
michellewalsh,624,6.48,Employee,Fun!23,Michelle,3/30/47,6,true,Walsh,
anthonycarson,625,1.0,Employee,Fun!23,Anthony,3/28/56,9,true,Carson,
heathercunningham,626,2.43,Employee,Fun!23,Heather,6/13/82,11,true,Cunningham,
ronaldbond,627,55.74,Employee,Fun!23,Ronald,2/2/86,12,true,Bond,
sherriarmstrong,628,33.97,Employee,Fun!23,Sherri,12/6/21,12,true,Armstrong,
jacobcontreras,629,2.7,Employee,Fun!23,Jacob,9/30/01,15,true,Contreras,
colleensanchez,630,6.76,Employee,Fun!23,Colleen,7/30/35,6,false,Sanchez,
dereklopez,631,25.81,Employee,Fun!23,Derek,3/21/10,13,true,Lopez,
kaylasmith,632,24.29,Employee,Fun!23,Kayla,5/28/51,11,true,Smith,
christopherosborne,633,2.35,Employee,Fun!23,Christopher,5/23/00,6,false,Osborne,
mercedesnichols,634,0.29,Employee,Fun!23,Mercedes,11/17/61,9,true,Nichols,
bethsharp,635,26.38,Employee,Fun!23,Beth,9/3/57,14,false,Sharp,
scottbailey,636,0.65,Employee,Fun!23,Scott,7/2/75,11,false,Bailey,
crystalyoung,637,2.62,Employee,Fun!23,Crystal,9/17/39,11,false,Young,
allenarnold,638,25.02,Employee,Fun!23,Allen,2/8/71,10,false,Arnold,
donaldtran,639,46.2,Employee,Fun!23,Donald,9/21/41,9,false,Tran,
christopherfields,640,6.4,Employee,Fun!23,Christopher,12/2/56,11,true,Fields,
luisjohnson,641,15.76,Employee,Fun!23,Luis,9/19/78,16,true,Johnson,
kristalambert,642,5.0,Employee,Fun!23,Krista,6/7/67,8,true,Lambert,
nicholascopeland,643,35.37,Employee,Fun!23,Nicholas,7/1/59,5,true,Copeland,
markrogers,644,16.98,Employee,Fun!23,Mark,10/26/71,6,true,Rogers,
jessicaramirez,645,8.91,Employee,Fun!23,Jessica,1/3/34,11,false,Ramirez,
